policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,unpermitted_activities,still_queued_at_end,missing_resource_starts,max_resource_occupation,arrivals,completed_cases,completion_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
kbatch5,3,,1,45,mdn,1.0,0,1346,0,0.97,4526,2520,0.556783031374282,8.649536232390883,21.03482861322685,0.3183124063441893,0.23395879375566092,0.029557889013465347,0.03152691139645159,3.1038151568260055,0.8974812196199735,7.688174897661214,0.4421122403888643,0.8986634709132272,0.6744007920940052,0.0851269441723942,0.08652025747822795,0.01925888376876343,0.16260406832031585,0.8373959316796842,0.10345375135767898,0.896546248642321,1.0,11,0,0,1305,0,0,137,6,392.55548153888884
kbatch5,4,,1,46,mdn,1.0,0,1116,0,0.9928,4297,2532,0.5892483127763556,6.1558101098199485,16.703657052966435,0.33070671632770554,0.2476666036546944,0.029137043408651638,0.03233589582020584,1.9743876446990174,0.9017919478706073,4.927533060695954,0.4565976262508727,0.8891517128874388,0.6709615348337075,0.09554601446010327,0.09712985649282464,0.022434818488158086,0.16937207806878812,0.8306279219312118,0.10094191550064903,0.899058084499351,1.0,11,0,0,1031,0,0,138,5,486.7483782502777
random,1,,1,43,mdn,0.0,0,23,0,0.2499,4371,3102,0.7096774193548387,0.8658970941103971,3.648867536899294,0.039261806879253035,0.03433548979591837,0.039261806879253035,0.03433548979591837,0.12326224189413743,0.9711736444749485,0.31710464480697037,0.515442690459849,0.7892288652754662,0.7221679157163028,0.01991523845115516,0.1463299504366297,0.01991523845115516,0.19483748474300439,0.8051625152569957,1.0,0.0,1.0,12,0,0,84,0,0,140,3,54.49168966777777
random,2,,1,44,mdn,0.0,0,55,0,0.3193,4296,3036,0.7067039106145251,0.823064575025733,3.5914811053819444,0.043201171967609635,0.03922425960932577,0.043201171967609635,0.03922425960932577,0.14441195876615895,0.9748603351955307,0.2934472418891724,0.5111731843575419,0.7931402243931572,0.7187454624655147,0.02300161668565545,0.14144541016787712,0.02300161668565545,0.19391557386342165,0.8060844261365784,1.0,0.0,1.0,9,0,0,83,0,0,138,5,81.45643889055556
random,3,,1,45,mdn,0.0,0,19,0,0.3683,4526,3235,0.7147591692443659,0.8262225357973554,3.274067733902776,0.04307377501507586,0.03958399488518302,0.04307377501507586,0.03958399488518302,0.1334226714714508,0.9726027397260274,0.3210446151979912,0.5148033583738401,0.7954867722724143,0.7259726386160791,0.022842854836029724,0.14631336405529954,0.022842854836029724,0.19282401405813385,0.8071759859418661,1.0000000000000002,0.0,1.0,12,0,0,99,0,0,137,6,99.20645685527778
random,4,,1,46,mdn,0.0,0,30,0,0.238,4297,3069,0.714219222713521,0.7697636514046905,2.9786482211851837,0.04139258936335628,0.03855284604074775,0.04139258936335628,0.03855284604074775,0.1362005123337552,0.9730044216895508,0.30905398632286674,0.5068652548289504,0.7830919501515662,0.7165207406344194,0.02814600759209468,0.14301257253384914,0.02814600759209468,0.1916678590524675,0.8083321409475325,0.9999999999999999,0.0,1.0,11,0,0,77,0,0,138,5,167.27368454444442
piled,1,,1,43,mdn,0.0,0,23,0,0.2496,4371,3102,0.7096774193548387,0.8644742509677262,3.5855004900098355,0.039942085938346056,0.03437551020408163,0.039942085938346056,0.03437551020408163,0.123398721246341,0.9711736444749485,0.3172469319205,0.515442690459849,0.7805322484956352,0.678804015399561,0.019881412125918672,0.144187691582174,0.019881412125918672,0.19483748474300439,0.8051625152569957,1.0,0.0,1.0,12,0,0,84,0,0,140,3,61.33236442583333
piled,2,,1,44,mdn,0.0,0,41,0,0.2954,4296,3042,0.7081005586592178,0.8213480430298811,3.625562285719906,0.042703236340102806,0.037803224112581385,0.042703236340102806,0.037803224112581385,0.14435947129179436,0.9748603351955307,0.2912953822724818,0.5118715083798883,0.7801600673967987,0.6760704928035606,0.022948283365808862,0.13960654183455795,0.022948283365808862,0.19425160725604418,0.8057483927439558,1.0,0.0,1.0,9,0,0,83,0,0,138,5,86.27601110722222
piled,3,,1,45,mdn,0.0,0,21,0,0.4847,4526,3233,0.7143172779496244,0.8278151356874419,3.3223766708726443,0.044282316393191,0.038836943896851196,0.044282316393191,0.038836943896851196,0.1336319724841665,0.9726027397260274,0.32813012063415,0.5148033583738401,0.7909645909645909,0.6819549652381447,0.022461662441680158,0.14445469218353701,0.022461662441680158,0.19273775216138328,0.8072622478386167,1.0,0.0,1.0,12,0,0,98,0,0,137,6,92.86394080277778
piled,4,,1,46,mdn,0.0,0,30,0,0.2432,4297,3070,0.7144519432161973,0.7689488195004336,2.9996173838049693,0.04093109942267988,0.037810144927536225,0.04093109942267988,0.037810144927536225,0.13611174582622998,0.9730044216895508,0.3087789523536111,0.5070979753316267,0.7796113701060274,0.6780611704942322,0.028212355758101496,0.14228771590771833,0.028212355758101496,0.19164846750508321,0.8083515324949168,0.9999999999999999,0.0,1.0,11,0,0,79,0,0,138,5,169.5171542766667
kbatch5,1,,1,43,mdn,0.0,0,38,0,0.4376,4371,3136,0.7174559597346145,0.9963608323048978,4.0748917505758095,0.04008034820115602,0.049630693877551015,0.04008034820115602,0.049630693877551015,0.2799274363744409,0.978494623655914,0.4283493561799974,0.5218485472431937,0.7073141390648809,0.6439846269988333,0.02445736958716206,0.0960472402988672,0.024936925853577006,0.19308722267594763,0.8069127773240523,1.0,0.0,1.0,12,0,0,304,0,0,140,3,43.70028076111112
kbatch5,2,,1,44,mdn,0.0,0,66,0,0.4604,4296,3065,0.7134543761638734,0.9438810055703395,3.845437396791666,0.04598334811911382,0.055644990548204154,0.04598334811911382,0.055644990548204154,0.2822085472883039,0.979050279329609,0.3926157429241911,0.5155959031657356,0.7222519005547565,0.6448653967807689,0.026611473201497145,0.09420728020316846,0.027123232301525937,0.19304292853272323,0.8069570714672768,1.0,0.0,1.0,9,0,0,284,0,0,138,5,80.74466728083331
kbatch5,3,,1,45,mdn,0.0,0,27,0,0.4139,4526,3272,0.7229341581970835,0.9709888798203223,3.7235188034513866,0.04376875006517734,0.0524583728488465,0.04376875006517734,0.0524583728488465,0.29940721288350464,0.983429076447194,0.4472558182886231,0.5207688908528502,0.7162292365205997,0.6536812244359415,0.024479587307688785,0.09026072723021163,0.024941466313494236,0.19157383604684375,0.8084261639531563,1.0,0.0,1.0,12,0,0,312,0,0,137,6,70.88618675444445
kbatch5,4,,1,46,mdn,0.0,0,41,0,0.4359,4297,3113,0.7244589248312776,0.8845867503885847,3.5792999200833133,0.04051945676199169,0.04821962822936358,0.04051945676199169,0.04821962822936358,0.27341408559012376,0.9792878752618106,0.41651293327410654,0.5143123109145916,0.7123902673668177,0.6481755339271589,0.031399553440979985,0.09617983048765508,0.03200339100715267,0.1905827917702375,0.8094172082297625,1.0,0.0,1.0,11,0,0,277,0,0,138,5,171.22781015249998
